time;value
16,99;0,00
16,99;0,00
17,01;0,00
17,03;0,00
17,05;0,00
17,06;0,00
17,08;0,00
17,10;0,00
17,11;0,00
17,13;0,00
17,15;0,00
17,17;0,00
17,18;0,00
17,20;0,00
17,22;0,00
17,23;0,00
17,25;0,00
17,27;0,00
17,28;0,00
17,30;0,00
17,32;0,00
17,33;0,00
17,35;0,00
17,37;0,00
17,38;0,00
17,40;0,00
17,42;0,00
17,44;0,00
17,45;0,00
17,47;0,00
17,49;0,00
17,50;0,00
17,52;0,00
17,54;0,00
17,55;0,00
17,57;0,00
17,59;0,00
17,60;0,00
17,62;0,00
17,64;0,00
17,65;0,00
17,67;0,00
17,69;0,00
17,70;0,00
17,72;0,00
17,74;0,00
17,75;0,00
17,77;0,00
17,79;0,00
17,81;0,00
17,82;0,00
17,84;0,00
17,86;0,00
17,87;0,00
17,89;0,00
17,91;0,00
17,92;0,00
17,94;0,00
17,96;0,00
17,97;0,00
17,99;0,00
18,01;0,00
18,02;0,00
18,04;0,00
18,06;0,00
18,08;0,00
18,09;0,00
18,11;0,00
18,13;0,00
18,14;0,00
18,16;0,00
18,18;0,00
18,19;0,00
18,21;0,00
18,23;0,00
18,24;0,00
18,26;0,00
18,28;0,00
18,29;0,00
18,31;0,00
18,33;0,00
18,35;0,00
18,36;0,00
18,38;0,00
18,40;0,00
18,41;0,00
18,43;0,00
18,45;0,00
18,46;0,00
18,48;0,00
18,50;0,00
18,51;0,00
18,53;0,00
18,55;0,00
18,56;0,00
18,58;0,00
18,60;0,00
18,61;0,00
18,63;0,00
18,65;0,00
18,66;0,00
18,68;0,00
18,70;0,00
18,72;0,00
18,73;0,00
18,75;0,00
18,77;0,00
18,78;0,00
18,80;0,00
18,82;0,00
18,83;0,00
18,85;0,00
18,87;0,00
18,88;0,00
18,90;0,00
18,92;0,00
18,93;0,00
18,95;0,00
18,97;0,00
18,98;0,00
19,00;0,00
19,02;0,00
19,04;0,00
19,05;0,00
19,07;0,00
19,09;0,00
19,10;0,00
19,12;0,00
19,14;0,00
19,15;0,00
19,17;0,00
19,19;0,00
19,20;0,00
19,22;0,00
19,24;0,00
19,25;0,00
19,27;0,00
19,29;0,00
19,30;0,00
19,32;0,00
19,34;0,00
19,36;0,00
19,37;0,00
19,39;0,00
19,41;0,00
19,42;0,00
19,44;0,00
19,46;0,00
19,47;0,00
19,49;0,00
19,51;0,00
19,52;0,00
19,54;0,00
19,56;0,00
19,57;0,00
19,59;0,00
19,61;0,00
19,63;0,00
19,64;0,00
19,66;0,00
19,68;0,00
19,69;0,00
19,71;0,00
19,73;0,00
19,74;0,00
19,76;0,00
19,78;0,00
19,79;0,00
19,81;0,00
19,83;0,00
19,84;0,00
19,86;0,00
19,88;0,00
19,89;0,00
19,91;0,00
19,93;0,00
19,95;0,00
19,96;0,00
19,98;0,00
20,00;0,00
20,01;0,00
20,03;0,00
20,05;0,00
20,06;0,00
20,08;0,00
20,10;0,00
20,11;0,00
20,13;0,00
20,15;0,00
20,16;0,00
20,18;0,00
20,20;0,00
20,21;0,00
20,23;0,00
20,25;0,00
20,27;0,00
20,28;0,00
20,30;0,00
20,32;0,00
20,33;0,00
20,35;0,00
20,37;0,00
20,38;0,00
20,40;0,00
20,42;0,00
20,43;0,00
20,45;0,00
20,47;0,00
20,48;0,00
20,50;0,00
20,52;0,00
20,53;0,00
20,55;0,00
20,57;0,00
20,59;0,00
20,60;0,00
20,62;0,00
20,64;0,00
20,65;0,00
20,67;0,00
20,69;0,00
20,70;0,00
20,72;0,00
20,74;0,00
20,75;0,00
20,77;0,00
20,79;0,00
20,80;0,00
20,82;0,00
20,84;0,00
20,86;0,00
20,87;0,00
20,89;0,00
20,91;0,00
20,92;0,00
20,94;0,00
20,96;0,00
20,97;0,00
20,99;0,00
21,01;0,00
21,02;0,00
21,04;0,00
21,06;0,00
21,07;0,00
21,09;0,00
21,11;0,00
21,12;0,00
21,14;0,00
21,16;0,00
21,18;0,00
21,19;0,00
21,21;0,00
21,23;0,00
21,24;0,00
21,26;0,00
21,28;0,00
21,29;0,00
21,31;0,00
21,33;0,00
21,34;0,00
21,36;0,00
21,38;0,00
21,39;0,00
21,41;0,00
21,43;0,00
21,44;0,00
21,46;0,00
21,48;0,00
21,50;0,00
21,51;0,00
21,53;0,00
21,55;0,00
21,56;0,00
21,58;0,00
21,60;0,00
21,61;0,00
21,63;0,00
21,65;0,00
21,66;0,00
21,68;0,00
21,70;0,00
21,71;0,00
21,73;0,00
21,75;0,00
21,77;0,00
21,78;0,00
21,80;0,00
21,82;0,00
21,83;0,00
21,85;0,00
21,87;0,00
21,88;0,00
21,90;0,00
21,92;0,00
21,93;0,00
21,95;0,00
21,97;0,00
21,98;0,00
22,00;0,00
22,02;0,00
22,03;0,00
22,05;0,00
22,07;0,00
22,09;0,00
22,10;0,00
22,12;0,00
22,14;0,00
22,15;0,00
22,17;0,00
22,19;0,00
22,20;0,00
22,22;0,00
22,24;0,00
22,25;0,00
22,27;0,00
22,29;0,00
22,30;0,00
22,32;0,00
22,34;0,00
22,36;0,00
22,37;0,00
22,39;0,00
22,41;0,00
22,42;0,00
22,44;0,00
22,46;0,00
22,47;0,00
